number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,system_attrs_grid_id,system_attrs_search_space,state
10,0.7525891130876896,2025-01-09 18:18:16.397820,2025-01-09 18:18:22.382480,0 days 00:00:05.984660,1.0,0.3,3,5,0.8,10,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
11,0.7057799134551346,2025-01-09 18:18:22.382716,2025-01-09 18:18:53.194066,0 days 00:00:30.811350,1.0,0.01,7,1,0.6,11,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
12,0.7472009988469006,2025-01-09 18:18:53.194300,2025-01-09 18:19:12.492383,0 days 00:00:19.298083,0.8,0.3,7,3,0.8,12,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
13,0.7465715794180948,2025-01-09 18:19:12.492621,2025-01-09 18:19:31.195275,0 days 00:00:18.702654,0.8,0.3,7,3,0.6,13,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
14,0.697243845384335,2025-01-09 18:19:31.195548,2025-01-09 18:20:00.052060,0 days 00:00:28.856512,1.0,0.01,7,5,1.0,14,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
15,0.7480410651201281,2025-01-09 18:20:00.053273,2025-01-09 18:20:05.657283,0 days 00:00:05.604010,0.8,0.3,3,1,0.6,15,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
16,0.7053601128475728,2025-01-09 18:20:05.657528,2025-01-09 18:20:32.501010,0 days 00:00:26.843482,1.0,0.01,7,5,0.8,16,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
17,0.7475511875992991,2025-01-09 18:20:32.501868,2025-01-09 18:20:57.439090,0 days 00:00:24.937222,0.8,0.1,7,3,0.8,17,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
18,0.7515396972373836,2025-01-09 18:20:57.439355,2025-01-09 18:21:03.363147,0 days 00:00:05.923792,1.0,0.3,3,5,1.0,18,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
19,0.6647772579733601,2025-01-09 18:21:03.363383,2025-01-09 18:21:08.166763,0 days 00:00:04.803380,0.6,0.01,3,5,1.0,19,"{'colsample_bytree': [0.6, 0.8, 1.0], 'learning_rate': [0.01, 0.1, 0.3], 'max_depth': [3, 5, 7], 'min_child_weight': [1, 3, 5], 'subsample': [0.6, 0.8, 1.0]}",COMPLETE
